image,bee_id,frame_id,angle_deg,angle_smooth,angle_var,wiggle,hive_health_score
pose/hsk_28_6_18_redish_2Fvideo_1208_bee_id4663_f0678.png,4663,678,275.9061411137705,278.6062098827811,108.60813669066614,False,Low activity
pose/hsk_28_6_18_redish_2Fvideo_1208_bee_id4663_f0679.png,4663,679,285.0684881594922,286.30853276705096,99.26857792335679,False,Low activity
pose/hsk_28_6_18_redish_2Fvideo_1208_bee_id4663_f0680.png,4663,680,297.9509690278902,291.84667426342645,43.32247914748703,False,Low activity
pose/hsk_28_6_18_redish_2Fvideo_1208_bee_id4663_f0681.png,4663,681,292.5205656028969,296.12293522057826,33.62059199810345,False,Low activity
pose/hsk_28_6_18_redish_2Fvideo_1208_bee_id4663_f0682.png,4663,682,297.89727103094765,286.8059455446149,67.7153386085998,False,Low activity
pose/hsk_28_6_18_redish_2Fvideo_1208_bee_id4663_f0683.png,4663,683,270.0,280.9137571353428,59.89436617810692,False,Low activity
pose/hsk_28_6_18_redish_2Fvideo_1208_bee_id4663_f0684.png,4663,684,274.84400037508067,275.60671093976134,25.2426673552023,False,Low activity
pose/hsk_28_6_18_redish_2Fvideo_1208_bee_id4663_f0685.png,4663,685,281.97613244420336,281.75169388073533,40.38812117153816,False,Low activity
pose/hsk_28_6_18_redish_2Fvideo_1208_bee_id4663_f0686.png,4663,686,288.434948822922,288.15176817883105,,False,Low activity
pose/hsk_28_6_18_redish_2Fvideo_1208_bee_id4663_f0687.png,4663,687,294.0442232693678,291.7433828116925,,False,Low activity
pose/hsk_28_6_18_redish_2Fvideo_1208_bee_id4663_f0688.png,4663,688,292.7509763427876,,,False,Low activity
pose/video_1536_bee_id5353_f1407.png,5353,1407,151.55707137563664,,,False,Low activity
pose/video_1536_bee_id5353_f1408.png,5353,1408,186.93434890126954,169.47691016052772,,False,Low activity
pose/video_1536_bee_id5353_f1409.png,5353,1409,169.939310204677,163.69627816765157,,False,Low activity
pose/video_1536_bee_id5353_f1410.png,5353,1410,134.2151753970081,154.61044959067405,132.77586835668401,False,Stress
pose/video_1536_bee_id5353_f1411.png,5353,1411,159.67686317033704,149.60819170976154,330.05149633628173,False,Stress
pose/video_1536_bee_id5353_f1412.png,5353,1412,154.93253656193951,140.23340536037622,,False,Low activity
pose/video_1536_bee_id5353_f1413.png,5353,1413,106.09081634885217,116.11319258377425,,False,Low activity
pose/video_1536_bee_id5353_f1414.png,5353,1414,87.31622484053102,,,False,Low activity
pose/video_1536_bee_id6003_f2731.png,6003,2731,280.5610106911964,,,False,Low activity
pose/video_1536_bee_id6003_f2732.png,6003,2732,243.43494882292202,262.9595482213819,,False,Low activity
pose/video_1536_bee_id6003_f2733.png,6003,2733,264.8826851500273,264.9406651182348,,False,Low activity
pose/video_1536_bee_id6003_f2734.png,6003,2734,286.504361381755,281.0628186727114,83.26619627411226,False,Low activity
pose/video_1536_bee_id6003_f2735.png,6003,2735,291.8014094863518,274.9244741024019,173.63364789614116,False,Stress
pose/video_1536_bee_id6003_f2736.png,6003,2736,246.46765143909897,258.9801226858822,196.4599783177824,False,Stress
pose/video_1536_bee_id6003_f2737.png,6003,2737,238.67130713219584,247.59215538519348,127.3810888448485,False,Stress
